Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,B365H,B365D,B365A,idmatch,FTRfrench
2017-03-04,Montpellier,Guingamp,D,1,1,2,3.5,3.8,Montpellier-Guingamp,N
2017-03-04,Paris SG,Nancy,H,1,0,1.14,8,21,Paris SG-Nancy,1
2017-03-05,Lorient,Marseille,A,1,4,3.1,3.4,2.25,Lorient-Marseille,2
2017-03-05,Monaco,Nantes,H,4,0,1.4,5,7.5,Monaco-Nantes,1
2017-03-05,Toulouse,Lille,D,1,1,2.05,3.3,4,Toulouse-Lille,N
2017-03-10,Marseille,Angers,H,3,0,1.67,3.75,5.5,Marseille-Angers,1
2017-03-10,Nice,Caen,D,2,2,1.67,3.6,5.75,Nice-Caen,N
2017-03-11,Guingamp,Bastia,H,5,0,1.73,3.6,5.25,Guingamp-Bastia,1
2017-03-11,Monaco,Bordeaux,H,2,1,1.45,4.5,7.5,Monaco-Bordeaux,1
2017-03-11,Montpellier,Nantes,A,2,3,2.1,3.25,3.8,Montpellier-Nantes,2
2017-03-11,Nancy,Lille,A,1,2,2.6,3.1,2.9,Nancy-Lille,2
2017-03-11,Rennes,Dijon,D,1,1,1.8,3.5,4.75,Rennes-Dijon,N
2017-03-12,Lorient,Paris SG,A,1,2,9.5,5.25,1.33,Lorient-Paris SG,2
2017-03-12,Lyon,Toulouse,H,4,0,1.44,4.5,7.5,Lyon-Toulouse,1
2017-03-12,St Etienne,Metz,D,2,2,1.62,3.8,6,St Etienne-Metz,N
2017-03-17,Lille,Marseille,D,0,0,3.1,3.2,2.38,Lille-Marseille,N
2017-03-17,Metz,Bastia,H,1,0,1.8,3.4,4.75,Metz-Bastia,1
2017-03-18,Angers,Guingamp,H,3,0,2.2,3.1,3.6,Angers-Guingamp,1
2017-03-18,Bordeaux,Montpellier,H,5,1,2,3.5,3.8,Bordeaux-Montpellier,1
2017-03-18,Nancy,Lorient,A,2,3,2.15,3.3,3.6,Nancy-Lorient,2
2017-03-18,Nantes,Nice,D,1,1,2.4,3.1,3.25,Nantes-Nice,N
2017-03-18,Toulouse,Rennes,D,0,0,2.2,3,3.75,Toulouse-Rennes,N
2017-03-19,Caen,Monaco,A,0,3,5.25,3.8,1.67,Caen-Monaco,2
2017-03-19,Dijon,St Etienne,A,0,1,3,3.1,2.55,Dijon-St Etienne,2
2017-03-19,Paris SG,Lyon,H,2,1,1.44,4.75,6.75,Paris SG-Lyon,1
2017-03-31,Guingamp,Nancy,H,1,0,1.8,3.6,4.75,Guingamp-Nancy,1
2017-04-01,Bastia,Lille,A,0,1,3.4,3,2.38,Bastia-Lille,2
2017-04-01,Marseille,Dijon,D,1,1,1.4,4.75,8,Marseille-Dijon,N
2017-04-02,Lorient,Caen,H,1,0,2.2,3.4,3.3,Lorient-Caen,1
2017-04-02,Montpellier,Toulouse,A,0,1,2.1,3.4,3.6,Montpellier-Toulouse,2
2017-04-02,Nantes,Angers,H,2,1,2.15,3.3,3.6,Nantes-Angers,1
2017-04-02,Nice,Bordeaux,H,2,1,2.25,3.3,3.3,Nice-Bordeaux,1
2017-04-02,Rennes,Lyon,D,1,1,4.2,3.75,1.85,Rennes-Lyon,N
2017-04-05,Metz,Lyon,A,0,3,6,4,1.57,Metz-Lyon,2
2017-04-07,Lille,Nice,A,1,2,2.63,3,3,Lille-Nice,2
2017-04-08,Angers,Monaco,A,0,1,4.8,3.8,1.73,Angers-Monaco,2
2017-04-08,Bordeaux,Metz,H,3,0,1.45,4.2,8,Bordeaux-Metz,1
2017-04-08,Caen,Montpellier,A,0,2,2.38,3.25,3.1,Caen-Montpellier,2
2017-04-08,Dijon,Bastia,A,1,2,1.95,3.3,4.2,Dijon-Bastia,2
2017-04-08,Lyon,Lorient,A,1,4,1.29,6,9.5,Lyon-Lorient,2
